Reach,Var,ID,Metric,Value
RRAvon_10,River Flow m3/s,1,Mean,20.04432
RRAvon_10,River Flow m3/s,1,Min,1.071182
RRAvon_10,River Flow m3/s,1,5%ile,2.514638
RRAvon_10,River Flow m3/s,1,10%ile,3.130635
RRAvon_10,River Flow m3/s,1,20%ile,4.200156
RRAvon_10,River Flow m3/s,1,50%ile,9.171476
RRAvon_10,River Flow m3/s,1,90%ile,54.15219
RRAvon_10,River Flow m3/s,1,95%ile,76.30833
RRAvon_10,River Flow m3/s,1,99%ile,114.4271
RRAvon_10,River Flow m3/s,1,Max,174.6657
RRAvon_10,River Flow m3/s,1,MeanDW,20.03625
RRAvon_10,River Flow m3/s,1,5%ileDW,2.507366
RRAvon_10,River Flow m3/s,1,10%ileDW,3.127197
RRAvon_10,River Flow m3/s,1,90%ileDW,9.171476
RRAvon_10,River Flow m3/s,1,95%ileDW,54.15219
RRAvon_10,River BODdis mg/l,2,Mean,1.178141
RRAvon_10,River BODdis mg/l,2,Min,0.7003763
RRAvon_10,River BODdis mg/l,2,5%ile,0.9217625
RRAvon_10,River BODdis mg/l,2,10%ile,0.9674777
RRAvon_10,River BODdis mg/l,2,20%ile,1.026202
RRAvon_10,River BODdis mg/l,2,50%ile,1.152006
RRAvon_10,River BODdis mg/l,2,90%ile,1.41814
RRAvon_10,River BODdis mg/l,2,95%ile,1.521373
RRAvon_10,River BODdis mg/l,2,99%ile,1.776019
RRAvon_10,River BODdis mg/l,2,Max,3.447948
RRAvon_10,River BODdis mg/l,2,MeanDW,1.180058
RRAvon_10,River BODdis mg/l,2,5%ileDW,0.9274961
RRAvon_10,River BODdis mg/l,2,10%ileDW,0.9715297
RRAvon_10,River BODdis mg/l,2,90%ileDW,1.152006
RRAvon_10,River BODdis mg/l,2,95%ileDW,1.41814
RRAvon_10,River AmmN mg/l,3,Mean,0.1613932
RRAvon_10,River AmmN mg/l,3,Min,3.77E-02
RRAvon_10,River AmmN mg/l,3,5%ile,6.88E-02
RRAvon_10,River AmmN mg/l,3,10%ile,8.07E-02
RRAvon_10,River AmmN mg/l,3,20%ile,9.99E-02
RRAvon_10,River AmmN mg/l,3,50%ile,0.1471401
RRAvon_10,River AmmN mg/l,3,90%ile,0.2568017
RRAvon_10,River AmmN mg/l,3,95%ile,0.3028457
RRAvon_10,River AmmN mg/l,3,99%ile,0.4085486
RRAvon_10,River AmmN mg/l,3,Max,0.6695384
RRAvon_10,River AmmN mg/l,3,MeanDW,0.163537
RRAvon_10,River AmmN mg/l,3,5%ileDW,6.77E-02
RRAvon_10,River AmmN mg/l,3,10%ileDW,7.99E-02
RRAvon_10,River AmmN mg/l,3,90%ileDW,0.1471401
RRAvon_10,River AmmN mg/l,3,95%ileDW,0.2568017
RRAvon_10,River DO mg/l,4,Mean,7.534303
RRAvon_10,River DO mg/l,4,Min,1.356525
RRAvon_10,River DO mg/l,4,5%ile,5.165624
RRAvon_10,River DO mg/l,4,10%ile,5.643938
RRAvon_10,River DO mg/l,4,20%ile,6.113478
RRAvon_10,River DO mg/l,4,50%ile,7.539813
RRAvon_10,River DO mg/l,4,90%ile,9.519402
RRAvon_10,River DO mg/l,4,95%ile,9.776128
RRAvon_10,River DO mg/l,4,99%ile,10.11181
RRAvon_10,River DO mg/l,4,Max,13.29704
RRAvon_10,River DO mg/l,4,MeanDW,7.523501
RRAvon_10,River DO mg/l,4,5%ileDW,5.132977
RRAvon_10,River DO mg/l,4,10%ileDW,5.617928
RRAvon_10,River DO mg/l,4,90%ileDW,7.539813
RRAvon_10,River DO mg/l,4,95%ileDW,9.519402
RRAvon_10,River Temperature Deg C,5,Mean,9.646255
RRAvon_10,River Temperature Deg C,5,Min,0
RRAvon_10,River Temperature Deg C,5,5%ile,3.142394
RRAvon_10,River Temperature Deg C,5,10%ile,3.615814
RRAvon_10,River Temperature Deg C,5,20%ile,4.349294
RRAvon_10,River Temperature Deg C,5,50%ile,9.512984
RRAvon_10,River Temperature Deg C,5,90%ile,16.165
RRAvon_10,River Temperature Deg C,5,95%ile,17.05304
RRAvon_10,River Temperature Deg C,5,99%ile,18.97976
RRAvon_10,River Temperature Deg C,5,Max,21.30415
RRAvon_10,River Temperature Deg C,5,MeanDW,9.64645
RRAvon_10,River Temperature Deg C,5,5%ileDW,3.135413
RRAvon_10,River Temperature Deg C,5,10%ileDW,3.61549
RRAvon_10,River Temperature Deg C,5,90%ileDW,9.512984
RRAvon_10,River Temperature Deg C,5,95%ileDW,16.165
RRAvon_10,DO %sat at downstream end of reach %,6,Mean,64.70882
RRAvon_10,DO %sat at downstream end of reach %,6,Min,15.02149
RRAvon_10,DO %sat at downstream end of reach %,6,5%ile,52.82695
RRAvon_10,DO %sat at downstream end of reach %,6,10%ile,56.13252
RRAvon_10,DO %sat at downstream end of reach %,6,20%ile,59.33209
RRAvon_10,DO %sat at downstream end of reach %,6,50%ile,64.81252
RRAvon_10,DO %sat at downstream end of reach %,6,90%ile,73.61948
RRAvon_10,DO %sat at downstream end of reach %,6,95%ile,75.11609
RRAvon_10,DO %sat at downstream end of reach %,6,99%ile,77.63575
RRAvon_10,DO %sat at downstream end of reach %,6,Max,99.5507
RRAvon_10,DO %sat at downstream end of reach %,6,MeanDW,64.60417
RRAvon_10,DO %sat at downstream end of reach %,6,5%ileDW,52.52719
RRAvon_10,DO %sat at downstream end of reach %,6,10%ileDW,55.91412
RRAvon_10,DO %sat at downstream end of reach %,6,90%ileDW,64.81252
RRAvon_10,DO %sat at downstream end of reach %,6,95%ileDW,73.61948
RRAvon_100,DO %sat at downstream end of reach %,7,Mean,72.36025
RRAvon_100,DO %sat at downstream end of reach %,7,Min,39.17463
RRAvon_100,DO %sat at downstream end of reach %,7,5%ile,61.21424
RRAvon_100,DO %sat at downstream end of reach %,7,10%ile,64.4762
RRAvon_100,DO %sat at downstream end of reach %,7,20%ile,67.83981
RRAvon_100,DO %sat at downstream end of reach %,7,50%ile,72.57676
RRAvon_100,DO %sat at downstream end of reach %,7,90%ile,79.23154
RRAvon_100,DO %sat at downstream end of reach %,7,95%ile,81.47608
RRAvon_100,DO %sat at downstream end of reach %,7,99%ile,89.50837
RRAvon_100,DO %sat at downstream end of reach %,7,Max,195.9135
RRAvon_100,DO %sat at downstream end of reach %,7,MeanDW,72.27422
RRAvon_100,DO %sat at downstream end of reach %,7,5%ileDW,61.10122
RRAvon_100,DO %sat at downstream end of reach %,7,10%ileDW,64.49902
RRAvon_100,DO %sat at downstream end of reach %,7,90%ileDW,72.57676
RRAvon_100,DO %sat at downstream end of reach %,7,95%ileDW,79.23154
RRAvon_100,River BODdis mg/l,8,Mean,1.434887
RRAvon_100,River BODdis mg/l,8,Min,0.4157381
RRAvon_100,River BODdis mg/l,8,5%ile,0.8502665
RRAvon_100,River BODdis mg/l,8,10%ile,0.9371886
RRAvon_100,River BODdis mg/l,8,20%ile,1.053156
RRAvon_100,River BODdis mg/l,8,50%ile,1.325806
RRAvon_100,River BODdis mg/l,8,90%ile,2.021497
RRAvon_100,River BODdis mg/l,8,95%ile,2.365091
RRAvon_100,River BODdis mg/l,8,99%ile,3.389323
RRAvon_100,River BODdis mg/l,8,Max,12.88844
RRAvon_100,River BODdis mg/l,8,MeanDW,1.43219
RRAvon_100,River BODdis mg/l,8,5%ileDW,0.8486131
RRAvon_100,River BODdis mg/l,8,10%ileDW,0.9337064
RRAvon_100,River BODdis mg/l,8,90%ileDW,1.325806
RRAvon_100,River BODdis mg/l,8,95%ileDW,2.021497
RRAvon_100,River DO mg/l,9,Mean,8.188168
RRAvon_100,River DO mg/l,9,Min,4.809138
RRAvon_100,River DO mg/l,9,5%ile,6.500673
RRAvon_100,River DO mg/l,9,10%ile,6.693443
RRAvon_100,River DO mg/l,9,20%ile,6.964885
RRAvon_100,River DO mg/l,9,50%ile,8.097062
RRAvon_100,River DO mg/l,9,90%ile,9.877346
RRAvon_100,River DO mg/l,9,95%ile,10.26459
RRAvon_100,River DO mg/l,9,99%ile,11.26492
RRAvon_100,River DO mg/l,9,Max,25.76372
RRAvon_100,River DO mg/l,9,MeanDW,8.177586
RRAvon_100,River DO mg/l,9,5%ileDW,6.501023
RRAvon_100,River DO mg/l,9,10%ileDW,6.688978
RRAvon_100,River DO mg/l,9,90%ileDW,8.097062
RRAvon_100,River DO mg/l,9,95%ileDW,9.877346
